dt,datetime,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3
1694217600,2023-09-09 00:00:00,4,1428.6,19.45,32.22,0.07,25.51,71.43,81.33,9.75
1694221200,2023-09-09 01:00:00,4,1241.68,15.87,36.67,0.55,31.95,57.71,65.16,7.66
1694224800,2023-09-09 02:00:00,4,1201.63,14.75,39.76,1.3,34.81,50.23,57.04,7.73
1694228400,2023-09-09 03:00:00,3,1094.82,10.28,43.53,3.98,36.72,42.6,49.12,8.04
1694232000,2023-09-09 04:00:00,2,801.09,2.29,32.22,33.97,25.27,24.96,29.15,5.83
1694235600,2023-09-09 05:00:00,2,700.95,0.52,27.42,50.07,23.13,18.3,21.71,5.45
1694239200,2023-09-09 06:00:00,2,680.92,0.3,26.73,57.94,23.6,17.02,20.22,5.7
1694242800,2023-09-09 07:00:00,2,794.41,1.4,35.64,57.94,32.42,21.14,25.1,7.85
1694246400,2023-09-09 08:00:00,3,1041.41,2.54,52.78,48.64,47.21,31.45,37.09,10.77
1694250000,2023-09-09 09:00:00,3,1295.09,3.74,66.49,39.7,57.7,42.29,49.57,12.41
1694253600,2023-09-09 10:00:00,4,2162.93,8.72,86.37,15.2,53.41,63.66,75.88,17.48
1694257200,2023-09-09 11:00:00,5,3578.19,34.42,91.85,0.33,50.07,98.1,117.66,22.8
1694260800,2023-09-09 12:00:00,5,4699.71,65.27,87.05,0,53.41,140.43,167.43,28.63
1694264400,2023-09-09 13:00:00,5,5981.45,98.35,78.14,0,61.04,202.95,240.67,44.08
1694268000,2023-09-09 14:00:00,5,7263.18,135.9,69.92,0,76.29,281.91,331.74,72.96
1694271600,2023-09-09 15:00:00,5,8331.3,166.3,67.86,0,96.32,359.01,419.55,107.41
1694275200,2023-09-09 16:00:00,5,8651.73,178.81,66.49,0,100.14,396.33,459.66,121.59
1694278800,2023-09-09 17:00:00,5,8544.92,187.75,57.58,0,78.2,403.49,460.3,90.18
1694282400,2023-09-09 18:00:00,5,7797.24,177.03,50.04,0,48.64,375.47,420.64,41.54
1694286000,2023-09-09 19:00:00,5,4379.27,74.21,73.34,0,41.96,210.1,234.08,14.69
1694289600,2023-09-09 20:00:00,5,3578.19,53.2,65.12,0,33.38,175.14,196.33,12.79
1694293200,2023-09-09 21:00:00,5,3284.45,46.04,59.63,0,30.28,167.59,186.91,13.17
1694296800,2023-09-09 22:00:00,5,3017.43,40.23,53.47,0,29.33,157.06,172.43,12.92
1694300400,2023-09-09 23:00:00,5,2456.67,31.74,44.55,0,28.13,124.64,137.56,11.4
1694304000,2023-09-10 00:00:00,5,1869.2,24.36,38.39,0.02,28.85,87.61,98.32,10.51
1694307600,2023-09-10 01:00:00,4,1295.09,16.76,39.41,0.37,32.9,57.06,64.22,8.04
1694311200,2023-09-10 02:00:00,4,1228.33,16.09,41.13,1.54,36.72,50.9,58.23,8.49
1694314800,2023-09-10 03:00:00,3,1201.63,13.63,43.87,5.01,41.96,49.1,56.9,8.74
1694318400,2023-09-10 04:00:00,3,934.6,4.02,39.76,30.76,32.42,33.34,39.22,7.09
1694322000,2023-09-10 05:00:00,3,801.09,1.41,36.33,47.92,29.56,25.42,30.25,6.71
1694325600,2023-09-10 06:00:00,2,787.73,0.94,36.33,54.36,30.99,24.79,29.33,6.84
1694329200,2023-09-10 07:00:00,3,947.95,1.82,44.55,50.78,38.15,30.2,35.62,8.87
1694332800,2023-09-10 08:00:00,3,1321.79,2.71,67.86,33.62,53.41,44.52,51.97,12.67
1694336400,2023-09-10 09:00:00,4,1762.39,4.08,94.59,13.05,68.66,62.08,71.51,16.97
1694340000,2023-09-10 10:00:00,5,2243.04,12.41,111.04,1.07,78.2,80.28,91.45,20.77
1694343600,2023-09-10 11:00:00,5,2696.99,26.6,109.67,0.02,72.48,97.59,110.4,19.25
1694347200,2023-09-10 12:00:00,5,2883.91,34.87,101.45,0,63.9,111.16,125.6,17.23
1694350800,2023-09-10 13:00:00,5,3017.43,38.89,87.05,0,53.88,126.03,143.96,19.51
1694354400,2023-09-10 14:00:00,5,3391.27,47.39,74.03,0,49.59,149.75,173.5,25.84
1694358000,2023-09-10 15:00:00,5,3845.21,59.01,67.86,0,52.93,180.13,209.47,35.46
1694361600,2023-09-10 16:00:00,5,4058.84,68.84,64.43,0,56.74,198.5,228.3,40.53
1694365200,2023-09-10 17:00:00,5,3791.81,67.06,62.38,0,52.45,186.37,211.52,34.96
1694368800,2023-09-10 18:00:00,5,3364.56,58.11,63.75,0,51.98,173.27,194.22,30.4
1694372400,2023-09-10 19:00:00,5,2857.21,53.64,69.92,0,63.9,159.89,176.42,22.04
1694376000,2023-09-10 20:00:00,5,2670.29,59.01,72.66,0,76.29,156.62,171.17,17.48
1694379600,2023-09-10 21:00:00,5,2643.59,70.63,74.71,0,90.6,161.44,174.83,15.45
1694383200,2023-09-10 22:00:00,5,2670.29,83.15,85,0,107.77,175.18,187.05,13.17
1694386800,2023-09-10 23:00:00,5,2750.4,87.62,95.96,0,112.53,192.95,204.47,11.53
1694390400,2023-09-11 00:00:00,5,2803.8,76,98.71,0.03,99.18,191.19,203.42,10.64
1694394000,2023-09-11 01:00:00,5,2723.69,63.48,91.85,0.07,84.88,163.79,175.43,10.51
1694397600,2023-09-11 02:00:00,5,2590.18,61.69,80.2,0.12,78.2,131.74,142.45,10.89
1694401200,2023-09-11 03:00:00,5,2349.85,56.77,70.6,0.63,73.43,106.38,116.04,10.77
1694404800,2023-09-11 04:00:00,4,1789.09,30.4,71.29,0.86,63.9,72.86,80.66,9.75
1694408400,2023-09-11 05:00:00,4,1588.82,21.46,74.03,0.51,64.85,63.65,70.46,9.63
1694412000,2023-09-11 06:00:00,4,1588.82,17.88,79.51,0.43,67.71,66.73,73.25,9.37
1694415600,2023-09-11 07:00:00,5,1789.09,24.81,86.37,12.34,80.11,81.05,88.16,10.26
1694419200,2023-09-11 08:00:00,5,2136.23,30.4,105.56,11.98,95.37,102.98,111.25,11.53
1694422800,2023-09-11 09:00:00,5,2349.85,35.32,112.41,10.01,96.32,117.41,126.61,11.65
1694426400,2023-09-11 10:00:00,5,2563.48,40.68,112.41,5.45,91.55,126.86,136.64,11.65
1694430000,2023-09-11 11:00:00,5,2777.1,47.83,106.93,0.61,89.65,133.8,144.28,11.65
1694433600,2023-09-11 12:00:00,5,2857.21,51.41,98.71,0,86.78,139.15,150.33,11.78
1694437200,2023-09-11 13:00:00,5,3231.05,56.77,90.48,0,76.29,159.19,174.79,14.57
1694440800,2023-09-11 14:00:00,5,3791.81,67.95,81.57,0,64.85,191.94,213.36,18.24
1694444400,2023-09-11 15:00:00,5,4272.46,77.78,73.34,0,58.65,224.57,249.95,20.77
1694448000,2023-09-11 16:00:00,5,4592.9,84.94,67.17,0,53.41,248.75,275.53,21.28
1694451600,2023-09-11 17:00:00,5,4486.08,83.15,61.69,0,44.82,252.97,276.95,18.24
1694455200,2023-09-11 18:00:00,5,4219.06,72.42,57.58,0,38.15,251.44,271,15.96
1694458800,2023-09-11 19:00:00,5,3898.62,59.9,56.21,0,35.29,246.19,260.98,13.55
1694462400,2023-09-11 20:00:00,5,3524.78,50.07,58.26,0,36.24,237.08,248.72,11.91
1694466000,2023-09-11 21:00:00,5,3150.94,41.13,59.63,0,38.62,223.03,233.04,11.15
1694469600,2023-09-11 22:00:00,5,2590.18,31.74,76.09,0,63.9,203.38,211.53,7.35
1694473200,2023-09-11 23:00:00,5,2429.96,33.97,76.09,0,69.62,190.93,199.19,8.11
1694476800,2023-09-12 00:00:00,5,2590.18,46.49,72.66,0.01,77.25,191.6,201.96,10.64
1694480400,2023-09-12 01:00:00,5,2937.32,65.27,70.6,0.08,89.65,196.4,208.85,13.3
1694484000,2023-09-12 02:00:00,5,3070.83,76,69.92,0.17,97.27,190.42,203.81,13.3
1694487600,2023-09-12 03:00:00,5,2937.32,73.31,67.86,0.29,97.27,173.62,187.01,12.41
1694491200,2023-09-12 04:00:00,5,2456.67,46.04,69.23,0.19,74.39,147.27,157.4,9.12
1694494800,2023-09-12 05:00:00,5,2243.04,31.74,72.66,0.29,64.85,131.94,140.67,8.74
1694498400,2023-09-12 06:00:00,5,2189.64,19.45,81.57,0.99,64.85,125.26,133.41,9.37
1694502000,2023-09-12 07:00:00,5,2162.93,8.94,90.48,1.21,66.76,122.99,130.79,10.01
1694505600,2023-09-12 08:00:00,5,2189.64,7.93,95.96,0.74,73.43,122.98,130.78,10.39
1694509200,2023-09-12 09:00:00,5,2296.45,12.18,104.19,0.36,83.92,129.64,137.68,10.64
1694512800,2023-09-12 10:00:00,5,3391.27,42.47,108.3,0.45,84.88,162.15,174.14,14.06
1694516400,2023-09-12 11:00:00,5,5287.17,99.24,101.45,0.02,85.83,214.04,233.37,21.53
1694520000,2023-09-12 12:00:00,5,6568.91,139.47,94.59,0,97.27,259.98,286.99,35.46
1694523600,2023-09-12 13:00:00,5,7263.18,159.14,89.11,0,107.77,301.44,334.5,45.09
1694527200,2023-09-12 14:00:00,5,6355.29,134.11,81.57,0,82.97,279.23,310.89,27.61
1694530800,2023-09-12 15:00:00,5,4219.06,67.95,77.46,0,56.27,195.98,220.66,14.44
1694534400,2023-09-12 16:00:00,5,2429.96,19,71.29,0.01,40.53,120.09,136.39,8.87
1694538000,2023-09-12 17:00:00,5,1976.01,10.73,58.26,0.09,30.52,93.11,104.64,7.92
1694541600,2023-09-12 18:00:00,4,1708.98,8.83,47.3,0.14,26.46,74.58,83.42,8.49
1694545200,2023-09-12 19:00:00,4,1455.31,7.1,38.73,0.26,24.08,59.72,67,8.87
1694548800,2023-09-12 20:00:00,3,1228.33,5.92,34.27,0.37,22.89,47.8,53.79,8.11
1694552400,2023-09-12 21:00:00,3,1054.76,6.65,32.56,0.25,23.84,39.73,44.56,7.35
1694556000,2023-09-12 22:00:00,3,934.6,8.61,31.53,0.12,25.51,32.39,36.29,6.33
1694559600,2023-09-12 23:00:00,3,894.55,11.06,29.47,0.04,25.99,28.95,32.8,6.14
1694563200,2023-09-13 00:00:00,3,1014.71,16.32,27.08,0.06,27.42,30.72,35.5,6.59
1694566800,2023-09-13 01:00:00,3,1228.33,24.14,26.05,0.32,31.95,34.57,40.74,7.16
1694570400,2023-09-13 02:00:00,3,1255.04,23.02,28.45,0.84,33.86,33.64,40.51,6.84
1694574000,2023-09-13 03:00:00,3,1081.47,12.85,33.93,2.73,31.47,28.63,35.03,6.08
1694577600,2023-09-13 04:00:00,2,794.41,4.14,27.76,28.61,23.84,20.71,25.2,4.69
1694581200,2023-09-13 05:00:00,2,700.95,2.35,23.65,52.93,22.17,19.44,23.22,4.69
1694584800,2023-09-13 06:00:00,2,667.57,2.1,21.42,67.95,21.22,19.5,22.91,4.75
1694588400,2023-09-13 07:00:00,2,680.92,2.6,20.56,87.26,21.7,22.01,25.85,5.32
1694592000,2023-09-13 08:00:00,2,727.65,2.46,26.39,77.25,24.8,23.59,28.13,6.4
1694595600,2023-09-13 09:00:00,2,761.03,1.9,32.22,60.08,26.23,23.25,28.08,6.97
1694599200,2023-09-13 10:00:00,2,834.47,0.64,39.41,43.99,26.94,23.19,28.32,7.35
1694602800,2023-09-13 11:00:00,2,867.84,0.09,42.16,33.97,26.46,23.43,28.79,7.41
1694606400,2023-09-13 12:00:00,2,827.79,0.01,39.07,32.9,24.56,23.59,29.06,7.22
1694610000,2023-09-13 13:00:00,2,801.09,0,35.99,34.33,23.84,24.28,29.35,6.52
1694613600,2023-09-13 14:00:00,2,774.38,0,32.9,35.41,22.17,24.31,29.32,5.83
1694617200,2023-09-13 15:00:00,2,754.36,0,30.5,35.41,20.5,24.29,29.41,5.45
1694620800,2023-09-13 16:00:00,2,727.65,0,29.13,34.69,18.84,22.82,27.36,4.75
1694624400,2023-09-13 17:00:00,2,667.57,0,27.42,35.05,17.17,19.76,23.22,4.12
1694628000,2023-09-13 18:00:00,2,620.84,0,25.36,34.69,16.45,18.14,21.02,4.02
1694631600,2023-09-13 19:00:00,2,580.79,0.01,23.31,33.62,15.5,17.1,19.78,3.93
1694635200,2023-09-13 20:00:00,2,580.79,0.01,23.65,29.33,16.21,17.26,19.9,3.99
1694638800,2023-09-13 21:00:00,2,587.46,0.05,25.02,23.25,17.4,17.68,20.39,4.05
1694642400,2023-09-13 22:00:00,2,607.49,0.16,27.08,17.7,18.6,17.99,20.93,4.24
1694646000,2023-09-13 23:00:00,2,654.22,0.54,29.47,11.27,20.5,19.08,22.55,4.75
1694649600,2023-09-14 00:00:00,2,854.49,3.63,34.27,3.58,24.56,24.16,29.22,5.95
1694653200,2023-09-14 01:00:00,3,1201.63,15.42,35.99,0.96,31.95,32.18,39.28,7.16
1694656800,2023-09-14 02:00:00,3,1361.85,21.46,37.7,2.1,35.76,36.34,44.6,7.41
1694660400,2023-09-14 03:00:00,3,1268.39,16.54,40.1,6.17,35.29,35.62,43.89,6.97
1694664000,2023-09-14 04:00:00,3,1054.76,8.49,41.13,15.74,32.9,31.22,38.09,5.95
1694667600,2023-09-14 05:00:00,3,1014.71,5.87,42.84,23.25,33.86,31.51,37.74,5.83
1694671200,2023-09-14 06:00:00,3,1028.06,4.53,43.87,30.04,34.81,32.91,38.9,5.83
1694674800,2023-09-14 07:00:00,3,1028.06,3.38,42.5,40.77,32.42,33.47,39.29,5.7
1694678400,2023-09-14 08:00:00,3,1054.76,2.4,43.87,44.7,33.86,34.63,40.45,5.89
1694682000,2023-09-14 09:00:00,3,1121.52,1.93,47.3,40.05,35.76,35.34,41.22,6.14
1694685600,2023-09-14 10:00:00,3,1348.5,2.29,55.52,24.32,36.24,38.97,45.72,7.16
1694689200,2023-09-14 11:00:00,3,1642.23,4.81,64.43,4.43,36.72,45.52,54.13,8.36
1694692800,2023-09-14 12:00:00,4,1789.09,10.95,61.01,0.27,35.29,53.03,64.09,9.25
1694696400,2023-09-14 13:00:00,4,1842.5,14.75,56.89,0.06,35.76,60.7,73.39,9.63
1694700000,2023-09-14 14:00:00,4,1655.58,11.73,53.47,0.13,33.38,59.56,71.9,8.61
1694703600,2023-09-14 15:00:00,4,1428.6,6.87,49.35,0.64,29.33,53.78,64.95,7.54
1694707200,2023-09-14 16:00:00,3,1241.68,3.69,45.24,1.94,26.46,46.97,56.17,6.4
1694710800,2023-09-14 17:00:00,3,1094.82,2.1,42.16,3.67,23.6,40.5,47.54,5.51
1694714400,2023-09-14 18:00:00,3,974.66,1.01,37.36,6.53,21.46,35.19,40.6,5.13
1694718000,2023-09-14 19:00:00,3,867.84,0.5,32.56,9.57,19.55,31.29,35.83,5
1694721600,2023-09-14 20:00:00,3,854.49,0.76,31.53,7.6,20.03,31.41,36,5.51
1694725200,2023-09-14 21:00:00,3,854.49,1.42,31.87,4.78,21.46,32.08,36.91,5.95
1694728800,2023-09-14 22:00:00,3,867.84,2.51,32.22,2.82,23.37,32.17,37.23,6.21
1694732400,2023-09-14 23:00:00,3,894.55,3.97,32.22,1.7,24.8,31.29,36.41,6.21
1694736000,2023-09-15 00:00:00,3,1054.76,8.38,33.93,1.04,28.61,34.42,40.59,6.9
1694739600,2023-09-15 01:00:00,3,1388.55,17.66,37.36,1.83,34.33,39.98,47.66,7.73
1694743200,2023-09-15 02:00:00,3,1682.28,26.15,40.44,2.86,39.1,47.05,57.07,8.87
1694746800,2023-09-15 03:00:00,4,1735.69,24.81,45.93,5.28,41.01,52.18,64.29,10.01
1694750400,2023-09-15 04:00:00,4,1615.52,15.2,54.15,6.97,40.53,52.39,64.49,9.88
1694754000,2023-09-15 05:00:00,3,1468.66,6.43,56.89,11.8,40.53,49.57,59.81,9.25
1694757600,2023-09-15 06:00:00,3,1375.2,2.77,55.52,23.25,41.01,47.5,56.23,8.87
1694761200,2023-09-15 07:00:00,4,1482.01,2.82,52.78,33.62,35.76,50.79,59.76,9.75
1694764800,2023-09-15 08:00:00,4,1895.9,4.3,63.06,21.1,36.24,61.81,72.75,12.41
1694768400,2023-09-15 09:00:00,4,2429.96,11.4,72.66,7.96,41.01,74.35,87.38,15.96
1694772000,2023-09-15 10:00:00,5,3204.35,30.4,78.14,6.17,46.73,91.09,106.93,19.51
1694775600,2023-09-15 11:00:00,5,3845.21,52.3,75.4,0.4,46.25,105.17,124.73,19.76
1694779200,2023-09-15 12:00:00,5,3898.62,62.58,63.06,0,42.44,113.36,136.88,19
1694782800,2023-09-15 13:00:00,5,4165.65,73.31,54.15,0,43.39,134.2,161.44,19.76
1694786400,2023-09-15 14:00:00,5,4646.3,90.3,45.93,0,45.78,168.3,199.97,22.8
1694790000,2023-09-15 15:00:00,5,5020.14,101.92,39.41,0,46.73,197.72,233.57,26.09
1694793600,2023-09-15 16:00:00,5,4966.74,103.71,34.96,0,43.87,205.93,243.18,26.35
1694797200,2023-09-15 17:00:00,5,4646.3,100.14,31.87,0,37.19,191.24,223.84,22.8
1694800800,2023-09-15 18:00:00,5,4272.46,92.98,29.47,0,31.47,177.6,202.28,20.01
1694804400,2023-09-15 19:00:00,5,3524.78,72.42,30.5,0,26.94,149.71,166.47,17.23
1694808000,2023-09-15 20:00:00,5,2803.8,49.17,32.56,0,25.03,117.72,129.13,15.96
1694811600,2023-09-15 21:00:00,5,2296.45,36.21,32.9,0,25.51,97.25,106.09,15.58
1694815200,2023-09-15 22:00:00,5,2029.42,31.74,34.62,0,28.85,88.68,96.36,15.07
1694818800,2023-09-15 23:00:00,5,1815.8,28.16,36.67,0,32.9,82.99,90.67,14.44
1694822400,2023-09-16 00:00:00,5,1789.09,28.61,39.41,0,40.05,83.18,92.26,15.2
1694826000,2023-09-16 01:00:00,5,1789.09,30.85,51.41,0.01,54.36,84.35,94.36,13.3
1694829600,2023-09-16 02:00:00,5,1949.31,34.87,56.89,0.02,61.04,90.36,102.35,13.3
1694833200,2023-09-16 03:00:00,5,1815.8,25.26,56.21,0.16,55.31,89.41,102.09,12.79
1694836800,2023-09-16 04:00:00,5,1428.6,8.72,45.93,27.18,39.58,85.07,93.68,8.99
1694840400,2023-09-16 05:00:00,5,1415.25,5.31,45.24,56.51,41.48,94.54,101.35,8.61
1694844000,2023-09-16 06:00:00,5,1455.31,4.86,44.55,90.84,46.25,108.55,114.72,8.99
1694847600,2023-09-16 07:00:00,5,1508.71,2.1,52.09,103,52.93,121.35,127.41,9.37
1694851200,2023-09-16 08:00:00,5,1495.36,1.2,56.89,88.69,56.74,113.94,119.59,9.75
1694854800,2023-09-16 09:00:00,5,1375.2,0.73,53.47,82.97,51.02,99.38,104.39,8.99
1694858400,2023-09-16 10:00:00,5,1642.23,0.37,60.32,56.51,44.35,95.76,101.93,11.15
1694862000,2023-09-16 11:00:00,5,2269.74,0.76,80.2,17.17,43.39,109.78,118.86,13.3
1694865600,2023-09-16 12:00:00,5,2696.99,6.2,84.31,1.31,42.92,129.35,141.57,14.57
1694869200,2023-09-16 13:00:00,5,2937.32,13.19,75.4,0.09,42.44,150.67,166.5,16.09
1694872800,2023-09-16 14:00:00,5,3204.35,20.34,67.86,0.01,41.01,173.32,192.42,17.99
1694876400,2023-09-16 15:00:00,5,3417.97,26.6,63.75,0,41.01,195.57,216.76,19.76
1694880000,2023-09-16 16:00:00,5,3364.56,29.06,62.38,0,38.15,199.23,218.79,19
1694883600,2023-09-16 17:00:00,5,3017.43,27.27,61.69,0,34.81,183.27,197.14,15.96
1694887200,2023-09-16 18:00:00,5,2590.18,23.69,63.75,0,36.72,162.13,172.07,13.81
1694890800,2023-09-16 19:00:00,5,1922.61,15.2,67.86,0.01,40.53,129.83,136.9,10.89
1694894400,2023-09-16 20:00:00,5,1922.61,16.54,66.49,0.01,37.19,134.32,141.62,12.54
1694898000,2023-09-16 21:00:00,5,1922.61,18.78,65.12,0,36.24,136.59,143.94,13.3
1694901600,2023-09-16 22:00:00,5,1895.9,21.9,62.38,0,35.76,136.27,143.75,13.3
1694905200,2023-09-16 23:00:00,5,1842.5,23.69,59.63,0,35.76,132.18,140.2,12.67
1694908800,2023-09-17 00:00:00,5,2002.72,27.94,57.58,0.02,39.58,134.33,144.57,13.93
1694912400,2023-09-17 01:00:00,5,1949.31,34.87,68.55,0.04,65.8,131.93,141.75,11.02
1694916000,2023-09-17 02:00:00,5,2136.23,43.36,68.55,0.03,72.48,135.75,146.05,11.27
1694919600,2023-09-17 03:00:00,5,2162.93,44.7,67.17,0.04,72.48,131.18,141.25,11.27
1694923200,2023-09-17 04:00:00,5,1815.8,28.39,65.12,0.31,59.13,106.61,114.6,9.75
1694926800,2023-09-17 05:00:00,5,1602.17,19.45,61.01,0.54,53.41,86.66,93.1,8.99
1694930400,2023-09-17 06:00:00,4,1415.25,12.29,56.21,1.13,47.21,67.91,73.03,8.36
1694934000,2023-09-17 07:00:00,4,1281.74,8.16,54.15,2.28,44.82,55.63,60.08,8.04
1694937600,2023-09-17 08:00:00,4,1241.68,9.5,54.84,1.83,48.16,53.87,58.36,8.36
1694941200,2023-09-17 09:00:00,4,1148.22,6.2,54.15,4.07,45.78,50.68,55.04,7.79
1694944800,2023-09-17 10:00:00,4,1522.06,9.61,56.89,2.62,41.01,58.94,65.2,10.39
1694948400,2023-09-17 11:00:00,5,2376.56,29.06,57.58,0.09,40.53,79.74,90.48,15.07
1694952000,2023-09-17 12:00:00,5,3044.13,46.94,54.84,0,41.48,103.93,120.25,19.51
1694955600,2023-09-17 13:00:00,5,3337.86,54.54,50.04,0,40.53,124.12,146.02,23.31
1694959200,2023-09-17 14:00:00,5,3471.37,58.11,45.24,0,38.62,140.2,167,26.09
1694962800,2023-09-17 15:00:00,5,3685,64.37,40.1,0,38.62,160.29,191.05,28.88
1694966400,2023-09-17 16:00:00,5,3845.21,70.63,36.33,0,37.19,175,209.03,30.65
1694970000,2023-09-17 17:00:00,5,3791.81,73.31,32.56,0,31.95,175.16,208.73,28.37
1694973600,2023-09-17 18:00:00,5,3685,75.1,28.79,0,30.99,174.05,206.69,27.36
1694977200,2023-09-17 19:00:00,5,3631.59,79.57,26.05,0,31.95,182.32,211.24,26.6
1694980800,2023-09-17 20:00:00,5,3631.59,86.72,23.99,0,34.33,192.87,217.13,26.85
1694984400,2023-09-17 21:00:00,5,3685,96.56,22.96,0,38.15,201.72,222.03,27.11
1694988000,2023-09-17 22:00:00,5,3685,105.5,22.62,0,41.48,203.21,220.51,25.33
1694991600,2023-09-17 23:00:00,5,3685,114.44,22.62,0,44.82,205.22,221.37,22.04
1694995200,2023-09-18 00:00:00,5,4219.06,134.11,24.33,0.01,54.36,226.99,247.35,22.55
1694998800,2023-09-18 01:00:00,5,2857.21,105.5,43.18,0.2,98.23,155.95,170.74,13.81
1695002400,2023-09-18 02:00:00,5,2696.99,94.77,45.24,0.78,105.86,134.28,148.35,12.54
1695006000,2023-09-18 03:00:00,5,2643.59,92.98,47.98,1.79,112.53,124.42,138.36,12.92
1695009600,2023-09-18 04:00:00,5,1815.8,53.2,52.78,3.44,79.15,89.92,99.02,8.74
1695013200,2023-09-18 05:00:00,4,1361.85,25.7,60.32,5.81,61.99,73.76,80.64,7.41
1695016800,2023-09-18 06:00:00,4,1188.28,8.83,63.75,11,52.45,67.71,73.77,7.22
1695020400,2023-09-18 07:00:00,4,1134.87,3.97,58.26,22.89,47.21,63.38,69.01,7.6
1695024000,2023-09-18 08:00:00,4,1148.22,4.08,57.58,37.91,49.11,64.16,70.05,8.74
1695027600,2023-09-18 09:00:00,4,1188.28,3.19,58.26,50.78,49.11,65.9,72.12,9.75
1695031200,2023-09-18 10:00:00,4,1548.77,2.21,71.97,35.76,51.02,74.24,82.24,13.3
1695034800,2023-09-18 11:00:00,5,2136.23,4.02,89.11,5.81,51.98,92.24,103.37,16.47
1695038400,2023-09-18 12:00:00,5,2536.77,13.3,85.68,0.12,50.54,115.18,129.79,16.72
1695042000,2023-09-18 13:00:00,5,2616.88,18.1,77.46,0.01,46.73,130.32,147.82,15.33
1695045600,2023-09-18 14:00:00,5,2483.37,19.22,71.29,0,42.44,129.67,148.1,13.55
1695049200,2023-09-18 15:00:00,5,2243.04,20.12,64.43,0,40.05,117.89,135.86,12.03
1695052800,2023-09-18 16:00:00,5,2002.72,21.9,54.84,0,36.72,100.42,118.4,11.15
1695056400,2023-09-18 17:00:00,5,1922.61,25.93,44.55,0,31.47,90.95,110.33,10.77
1695060000,2023-09-18 18:00:00,5,1869.2,29.5,37.01,0,28.61,86.18,106.27,10.89
1695063600,2023-09-18 19:00:00,5,1815.8,32.63,31.87,0,27.66,87.06,107.62,11.27
1695067200,2023-09-18 20:00:00,5,1869.2,37.55,28.1,0,27.66,91.93,112.25,11.78
1695070800,2023-09-18 21:00:00,5,1949.31,43.81,25.36,0,27.66,100.92,118.91,12.29
1695074400,2023-09-18 22:00:00,5,2082.82,51.41,22.96,0,28.37,112.95,129.09,12.29
1695078000,2023-09-18 23:00:00,5,2216.34,59.01,21.25,0,31.47,123.06,138.98,12.29
1695081600,2023-09-19 00:00:00,5,2429.96,69.74,22.96,0.44,42.92,134.04,151.6,13.43
1695085200,2023-09-19 01:00:00,5,2136.23,62.58,37.01,4.6,61.04,120.09,136.53,11.02
1695088800,2023-09-19 02:00:00,5,2056.12,46.49,56.21,11.98,64.85,119.62,136.53,11.4
1695092400,2023-09-19 03:00:00,5,1949.31,24.81,75.4,22.53,63.9,117.24,134.61,13.05
1695096000,2023-09-19 04:00:00,4,1174.93,2.82,50.72,30.4,36.24,59.8,68.72,7.98
1695099600,2023-09-19 05:00:00,3,894.55,0.71,33.93,31.11,28.61,34.82,40.21,6.4
1695103200,2023-09-19 06:00:00,3,867.84,0.47,31.87,30.04,29.8,30.59,34.87,6.27
1695106800,2023-09-19 07:00:00,3,961.3,1.62,38.73,23.6,37.67,34.81,38.73,6.84
1695110400,2023-09-19 08:00:00,3,1081.47,3.52,46.61,21.82,44.35,42.24,46.34,7.66
1695114000,2023-09-19 09:00:00,3,1121.52,4.19,48.67,26.46,44.35,44.3,48.52,7.6
1695117600,2023-09-19 10:00:00,3,1228.33,5.31,52.78,31.47,44.35,45.14,50.71,8.99
1695121200,2023-09-19 11:00:00,3,1415.25,3.46,66.49,10.55,45.78,48.27,56.35,10.77
1695124800,2023-09-19 12:00:00,4,1522.06,8.27,63.75,0.36,45.78,53.17,63.82,11.53
1695128400,2023-09-19 13:00:00,4,1535.42,10.84,58.26,0.08,42.92,57.3,70.54,11.65
1695132000,2023-09-19 14:00:00,4,1495.36,10.28,54.84,0.07,39.58,57.91,72.91,11.4
1695135600,2023-09-19 15:00:00,4,1441.96,10.06,50.72,0.05,36.24,56.41,72.23,10.64
1695139200,2023-09-19 16:00:00,4,1348.5,9.95,44.55,0.04,32.42,51.14,66.61,9.5
1695142800,2023-09-19 17:00:00,3,1281.74,10.62,40.1,0.03,29.09,47.6,62.58,8.61
1695146400,2023-09-19 18:00:00,3,1241.68,11.18,37.36,0.01,27.66,47.31,61.98,8.36
1695150000,2023-09-19 19:00:00,3,1228.33,12.29,35.64,0.01,27.66,49.24,63.66,8.49
1695153600,2023-09-19 20:00:00,4,1255.04,13.97,34.27,0,27.89,52.41,67.02,8.87
1695157200,2023-09-19 21:00:00,4,1295.09,15.87,33.59,0,28.61,56.17,69.83,9.25
1695160800,2023-09-19 22:00:00,4,1321.79,18.55,33.24,0,30.52,59.41,72.28,9.63
1695164400,2023-09-19 23:00:00,4,1348.5,21.9,32.9,0,35.29,61.28,74.77,10.13
1695168000,2023-09-20 00:00:00,4,1468.66,28.39,32.9,1.88,43.39,65.88,80.83,11.15
1695171600,2023-09-20 01:00:00,4,1522.06,28.61,40.1,12.87,51.02,68.11,83.7,11.27
1695175200,2023-09-20 02:00:00,5,1548.77,19.89,52.09,38.27,54.84,76.83,93.2,11.65
1695178800,2023-09-20 03:00:00,5,1508.71,9.95,55.52,88.69,56.74,92.99,109.32,11.65
